-- flex Errors -------------------------------- 
Entering state 40
Next token is token AND_T ()
Shifting token AND_T ()
Entering state 63
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63
Entering state 29
Reading a token: Next token is token NOT_EQUAL_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63
Entering state 41
Next token is token NOT_EQUAL_T ()
Shifting token NOT_EQUAL_T ()
Entering state 65
Reducing stack by rule 36 (line 353):
   $1 = token NOT_EQUAL_T ()
-> $$ = nterm comp ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63 41
Entering state 70
Reading a token: Next token is token INTEGER_CONSTANT_T ()
Shifting token INTEGER_CONSTANT_T ()
Entering state 14
Reducing stack by rule 48 (line 409):
   $1 = token INTEGER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63 41 70
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63 41 70
Entering state 29
Reading a token: Next token is token THEN_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63 41 70
Entering state 89
Reducing stack by rule 28 (line 315):
   $1 = nterm expr ()
   $2 = nterm comp ()
   $3 = nterm expr ()
-> $$ = nterm condition ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63
Entering state 40
Next token is token THEN_T ()
Reducing stack by rule 24 (line 297):
   $1 = nterm condition ()
-> $$ = nterm conditional ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 40 63
Entering state 88
Reducing stack by rule 25 (line 301):
   $1 = nterm condition ()
   $2 = token AND_T ()
   $3 = nterm conditional ()
-> $$ = nterm conditional ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18
Entering state 39
Next token is token THEN_T ()
Shifting token THEN_T ()
Entering state 61
Reading a token: Next token is token WRITE_T ()
Shifting token WRITE_T ()
Entering state 22
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 46
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61 22 46
Entering state 76
Reading a token: Next token is token KET_T ()
Reducing stack by rule 22 (line 288):
   $1 = nterm val ()
-> $$ = nterm output_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61 22 46
Entering state 75
Next token is token KET_T ()
Shifting token KET_T ()
Entering state 94
Reducing stack by rule 21 (line 282):
   $1 = token WRITE_T ()
   $2 = token BRA_T ()
   $3 = nterm output_block ()
   $4 = token KET_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token NEWLINE_T ()
Shifting token NEWLINE_T ()
Entering state 24
Reducing stack by rule 20 (line 278):
   $1 = token NEWLINE_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61 26 48
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61 26 48
Entering state 26
Reading a token: Next token is token END_IF_T ()
Reducing stack by rule 10 (line 231):
   $1 = nterm statement ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48 18 39 61
Entering state 86
Next token is token END_IF_T ()
Shifting token END_IF_T ()
Entering state 99
Reducing stack by rule 14 (line 249):
   $1 = token IF_T ()
   $2 = nterm conditional ()
   $3 = token THEN_T ()
   $4 = nterm statement_block ()
   $5 = token END_IF_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48
Entering state 26
Reading a token: Next token is token WHILE_T ()
Reducing stack by rule 10 (line 231):
   $1 = nterm statement ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 19
Entering state 42
Next token is token WHILE_T ()
Shifting token WHILE_T ()
Entering state 71
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71
Entering state 29
Reading a token: Next token is token LESS_THAN_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71
Entering state 41
Next token is token LESS_THAN_T ()
Shifting token LESS_THAN_T ()
Entering state 67
Reducing stack by rule 37 (line 357):
   $1 = token LESS_THAN_T ()
-> $$ = nterm comp ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71 41
Entering state 70
Reading a token: Next token is token INTEGER_CONSTANT_T ()
Shifting token INTEGER_CONSTANT_T ()
Entering state 14
Reducing stack by rule 48 (line 409):
   $1 = token INTEGER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71 41 70
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71 41 70
Entering state 29
Reading a token: Next token is token END_DO_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71 41 70
Entering state 89
Reducing stack by rule 28 (line 315):
   $1 = nterm expr ()
   $2 = nterm comp ()
   $3 = nterm expr ()
-> $$ = nterm condition ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71
Entering state 40
Next token is token END_DO_T ()
Reducing stack by rule 24 (line 297):
   $1 = nterm condition ()
-> $$ = nterm conditional ()
Stack now 0 1 3 5 9 32 26 48 26 48 19 42 71
Entering state 90
Next token is token END_DO_T ()
Shifting token END_DO_T ()
Entering state 100
Reducing stack by rule 16 (line 257):
   $1 = token DO_T ()
   $2 = nterm statement_block ()
   $3 = token WHILE_T ()
   $4 = nterm conditional ()
   $5 = token END_DO_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token INTEGER_CONSTANT_T ()
Shifting token INTEGER_CONSTANT_T ()
Entering state 14
Reducing stack by rule 48 (line 409):
   $1 = token INTEGER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 29
Reading a token: Next token is token ASSIGNMENT_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 28
Next token is token ASSIGNMENT_T ()
Shifting token ASSIGNMENT_T ()
Entering state 49
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 79
Reducing stack by rule 11 (line 237):
   $1 = nterm expr ()
   $2 = token ASSIGNMENT_T ()
   $3 = token ID_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token WHILE_T ()
Shifting token WHILE_T ()
Entering state 20
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20
Entering state 29
Reading a token: Next token is token LESS_THAN_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20
Entering state 41
Next token is token LESS_THAN_T ()
Shifting token LESS_THAN_T ()
Entering state 67
Reducing stack by rule 37 (line 357):
   $1 = token LESS_THAN_T ()
-> $$ = nterm comp ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 41
Entering state 70
Reading a token: Next token is token INTEGER_CONSTANT_T ()
Shifting token INTEGER_CONSTANT_T ()
Entering state 14
Reducing stack by rule 48 (line 409):
   $1 = token INTEGER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 41 70
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 41 70
Entering state 29
Reading a token: Next token is token DO_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 41 70
Entering state 89
Reducing stack by rule 28 (line 315):
   $1 = nterm expr ()
   $2 = nterm comp ()
   $3 = nterm expr ()
-> $$ = nterm condition ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20
Entering state 40
Next token is token DO_T ()
Reducing stack by rule 24 (line 297):
   $1 = nterm condition ()
-> $$ = nterm conditional ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20
Entering state 43
Next token is token DO_T ()
Shifting token DO_T ()
Entering state 72
Reading a token: Next token is token WRITE_T ()
Shifting token WRITE_T ()
Entering state 22
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 46
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 22 46
Entering state 76
Reading a token: Next token is token KET_T ()
Reducing stack by rule 22 (line 288):
   $1 = nterm val ()
-> $$ = nterm output_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 22 46
Entering state 75
Next token is token KET_T ()
Shifting token KET_T ()
Entering state 94
Reducing stack by rule 21 (line 282):
   $1 = token WRITE_T ()
   $2 = token BRA_T ()
   $3 = nterm output_block ()
   $4 = token KET_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48
Entering state 29
Reading a token: Next token is token ADD_T ()
Shifting token ADD_T ()
Entering state 50
Reducing stack by rule 41 (line 376):
   $1 = token ADD_T ()
-> $$ = nterm op ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48 29
Entering state 54
Reading a token: Next token is token INTEGER_CONSTANT_T ()
Shifting token INTEGER_CONSTANT_T ()
Entering state 14
Reducing stack by rule 48 (line 409):
   $1 = token INTEGER_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48 29 54
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48 29 54
Entering state 29
Reading a token: Next token is token ASSIGNMENT_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48 29 54
Entering state 80
Reducing stack by rule 30 (line 325):
   $1 = nterm val ()
   $2 = nterm op ()
   $3 = nterm expr ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48
Entering state 28
Next token is token ASSIGNMENT_T ()
Shifting token ASSIGNMENT_T ()
Entering state 49
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 79
Reducing stack by rule 11 (line 237):
   $1 = nterm expr ()
   $2 = token ASSIGNMENT_T ()
   $3 = token ID_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48
Entering state 26
Reading a token: Next token is token END_WHILE_T ()
Reducing stack by rule 10 (line 231):
   $1 = nterm statement ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 20 43 72
Entering state 91
Next token is token END_WHILE_T ()
Shifting token END_WHILE_T ()
Entering state 101
Reducing stack by rule 17 (line 261):
   $1 = token WHILE_T ()
   $2 = nterm conditional ()
   $3 = token DO_T ()
   $4 = nterm statement_block ()
   $5 = token END_WHILE_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token NEWLINE_T ()
Shifting token NEWLINE_T ()
Entering state 24
Reducing stack by rule 20 (line 278):
   $1 = token NEWLINE_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 26 48
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 26 48
Entering state 26
Reading a token: Next token is token ENDP_T ()
Reducing stack by rule 10 (line 231):
   $1 = nterm statement ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nte
/* Spl program name -> Prog3 */
#include <stdio.h>
int main(void) 
{

/* declarations */
int  a;
register int by1;
for(a = 1; by1 = 1,((a-(13)) * (( by1 > 0 ) - ( by1 < 0 ))) <=0; a += by1)
{
if(!(a == 7))
{
  printf("%d", a);
printf("\n");

}
}

a = 0;
do
{

a = a + 1;
if(!(a == 6) && a != 8)
{
  printf("%d", a);
printf("\n");

}
} while (a < 14);

a = 0;
while(a < 12)
{
printf("%d", a);

a = a + 1;
}
printf("\n");

return 0;
}
 /* End program -> Prog3 */
rm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32 26 48
Entering state 78
Reducing stack by rule 9 (line 227):
   $1 = nterm statement ()
   $2 = token SEMI_COLON_T ()
   $3 = nterm statement_block ()
-> $$ = nterm statement_block ()
Stack now 0 1 3 5 9 32
Entering state 56
Reducing stack by rule 2 (line 190):
   $1 = token DECLARATIONS_T ()
   $2 = nterm declarations ()
   $3 = token CODE_T ()
   $4 = nterm statement_block ()
-> $$ = nterm block ()
Stack now 0 1 3
Entering state 7
Next token is token ENDP_T ()
Shifting token ENDP_T ()
Entering state 31
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 55
Reading a token: Next token is token FULL_STOP_T ()
Shifting token FULL_STOP_T ()
Entering state 81
Reducing stack by rule 1 (line 174):
   $1 = token ID_T ()
   $2 = token COLON_T ()
   $3 = nterm block ()
   $4 = token ENDP_T ()
   $5 = token ID_T ()
   $6 = token FULL_STOP_T ()
-> $$ = nterm program ()
Stack now 0
Entering state 2
Reading a token: Now at end of input.
Shifting token $end ()
Entering state 4
Stack now 0 2 4
Cleanup: popping token $end ()
Cleanup: popping nterm program ()
--26/11/2017----------------------------------------------------- 
Parse debug output for d.spl 
--19:20:55.69----------------------------------------------------- 
Starting parse
Entering state 0
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 1
Reading a token: Next token is token COLON_T ()
Shifting token COLON_T ()
Entering state 3
Reading a token: Next token is token DECLARATIONS_T ()
Shifting token DECLARATIONS_T ()
Entering state 5
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 8
Reducing stack by rule 8 (line 222):
   $1 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5
Entering state 11
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 35
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 58
Reducing stack by rule 7 (line 218):
   $1 = nterm identifier_block ()
   $2 = token COMMA_T ()
   $3 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5
Entering state 11
Reading a token: Next token is token COMMA_T ()
Shifting token COMMA_T ()
Entering state 35
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 58
Reducing stack by rule 7 (line 218):
   $1 = nterm identifier_block ()
   $2 = token COMMA_T ()
   $3 = token ID_T ()
-> $$ = nterm identifier_block ()
Stack now 0 1 3 5
Entering state 11
Reading a token: Next token is token OF_T ()
Shifting token OF_T ()
Entering state 34
Reading a token: Next token is token TYPE_T ()
Shifting token TYPE_T ()
Entering state 57
Reading a token: Next token is token REAL_T ()
Shifting token REAL_T ()
Entering state 84
Reducing stack by rule 46 (line 399):
   $1 = token REAL_T ()
-> $$ = nterm type ()
Stack now 0 1 3 5 11 34 57
Entering state 85
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 97
Reducing stack by rule 6 (line 212):
   $1 = nterm identifier_block ()
   $2 = token OF_T ()
   $3 = token TYPE_T ()
   $4 = nterm type ()
   $5 = token SEMI_COLON_T ()
-> $$ = nterm declaration ()
Stack now 0 1 3 5
Entering state 10
Reading a token: Next token is token CODE_T ()
Reducing stack by rule 4 (line 202):
   $1 = nterm declaration ()
-> $$ = nterm declarations ()
Stack now 0 1 3 5
Entering state 9
Next token is token CODE_T ()
Shifting token CODE_T ()
Entering state 32
Reading a token: Next token is token MINUS_T ()
Shifting token MINUS_T ()
Entering state 17
Reading a token: Next token is token REAL_CONSTANT_T ()
Shifting token REAL_CONSTANT_T ()
Entering state 15
Reducing stack by rule 49 (line 413):
   $1 = token REAL_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 17
Entering state 37
Reducing stack by rule 33 (line 339):
   $1 = token MINUS_T ()
   $2 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32
Entering state 29
Reading a token: Next token is token ASSIGNMENT_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32
Entering state 28
Next token is token ASSIGNMENT_T ()
Shifting token ASSIGNMENT_T ()
Entering state 49
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 79
Reducing stack by rule 11 (line 237):
   $1 = nterm expr ()
   $2 = token ASSIGNMENT_T ()
   $3 = token ID_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token MINUS_T ()
Shifting token MINUS_T ()
Entering state 17
Reading a token: Next token is token REAL_CONSTANT_T ()
Shifting token REAL_CONSTANT_T ()
Entering state 15
Reducing stack by rule 49 (line 413):
   $1 = token REAL_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 17
Entering state 37
Reducing stack by rule 33 (line 339):
   $1 = token MINUS_T ()
   $2 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48
Entering state 29
Reading a token: Next token is token ASSIGNMENT_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48
Entering state 28
Next token is token ASSIGNMENT_T ()
Shifting token ASSIGNMENT_T ()
Entering state 49
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 79
Reducing stack by rule 11 (line 237):
   $1 = nterm expr ()
   $2 = token ASSIGNMENT_T ()
   $3 = token ID_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48
Entering state 29
Reading a token: Next token is token MULTIPLY_T ()
Shifting token MULTIPLY_T ()
Entering state 52
Reducing stack by rule 43 (line 384):
   $1 = token MULTIPLY_T ()
-> $$ = nterm op ()
Stack now 0 1 3 5 9 32 26 48 26 48 29
Entering state 54
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 29 54
Entering state 29
Reading a token: Next token is token DIVIDE_T ()
Shifting token DIVIDE_T ()
Entering state 53
Reducing stack by rule 44 (line 388):
   $1 = token DIVIDE_T ()
-> $$ = nterm op ()
Stack now 0 1 3 5 9 32 26 48 26 48 29 54 29
Entering state 54
Reading a token: Next token is token REAL_CONSTANT_T ()
Shifting token REAL_CONSTANT_T ()
Entering state 15
Reducing stack by rule 49 (line 413):
   $1 = token REAL_CONSTANT_T ()
-> $$ = nterm const ()
Stack now 0 1 3 5 9 32 26 48 26 48 29 54 29 54
Entering state 30
Reducing stack by rule 34 (line 343):
   $1 = nterm const ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 29 54 29 54
Entering state 29
Reading a token: Next token is token ASSIGNMENT_T ()
Reducing stack by rule 29 (line 321):
   $1 = nterm val ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 29 54 29 54
Entering state 80
Reducing stack by rule 30 (line 325):
   $1 = nterm val ()
   $2 = nterm op ()
   $3 = nterm expr ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48 29 54
Entering state 80
Reducing stack by rule 30 (line 325):
   $1 = nterm val ()
   $2 = nterm op ()
   $3 = nterm expr ()
-> $$ = nterm expr ()
Stack now 0 1 3 5 9 32 26 48 26 48
Entering state 28
Next token is token ASSIGNMENT_T ()
Shifting token ASSIGNMENT_T ()
Entering state 49
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 79
Reducing stack by rule 11 (line 237):
   $1 = nterm expr ()
   $2 = token ASSIGNMENT_T ()
   $3 = token ID_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token WRITE_T ()
Shifting token WRITE_T ()
Entering state 22
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 46
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 22 46
Entering state 76
Reading a token: Next token is token KET_T ()
Reducing stack by rule 22 (line 288):
   $1 = nterm val ()
-> $$ = nterm output_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 22 46
Entering state 75
Next token is token KET_T ()
Shifting token KET_T ()
Entering state 94
Reducing stack by rule 21 (line 282):
   $1 = token WRITE_T ()
   $2 = token BRA_T ()
   $3 = nterm output_block ()
   $4 = token KET_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token NEWLINE_T ()
Shifting token NEWLINE_T ()
Entering state 24
Reducing stack by rule 20 (line 278):
   $1 = token NEWLINE_T ()
-> $$ = nterm write_block ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48
Entering state 27
Reducing stack by rule 12 (line 241):
   $1 = nterm write_block ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token READ_T ()
Shifting token READ_T ()
Entering state 23
Reading a token: Next token is token BRA_T ()
Shifting token BRA_T ()
Entering state 47
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 77
Reading a token: Next token is token KET_T ()
Shifting token KET_T ()
Entering state 96
Reducing stack by rule 13 (line 245):
   $1 = token READ_T ()
   $2 = token BRA_T ()
   $3 = token ID_T ()
   $4 = token KET_T ()
-> $$ = nterm statement ()
Stack now 0 1 3 5 9 32 26 48 26 48 26 48 26 48 26 48
Entering state 26
Reading a token: Next token is token SEMI_COLON_T ()
Shifting token SEMI_COLON_T ()
Entering state 48
Reading a token: Next token is token ID_T ()
Shifting token ID_T ()
Entering state 12
Reducing stack by rule 31 (line 331):
   $1 = token ID_T ()
-> $$ = nterm val ()
